Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Fiji,73.26854534,82.96192597,89.52900917,82.12978099,86.51061903,111.44879062,94.10334858,106.95596367,104.26293885,120.47748728,126.93452432,136.11562158,126.94548825,126.64904299,137.29213176,139.12992905
Finland,1057.684082,1107.90010262,1165.23429292,1201.94047759,1244.13891664,1320.41749151,1417.96781465,1557.52226914,1678.14263559,1838.65653391,1951.43211644,2068.48895774,2163.98557306,2351.33141342,2409.7316657,2462.45562365
France,1670.32665098,1716.51058278,1771.5321422,1835.43446615,1904.76371631,2020.78833562,2157.52730051,2328.21995388,2354.35490451,2452.60944204,2598.61200638,2743.53818277,2875.46667851,2953.32650736,3093.41378569,3130.10168762
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,136.70259864,147.14896992,131.23653347,188.63799147,127.73818033,123.00228278,144.11603184,138.30057915,178.46094304,170.83238577,142.94803495,159.02059219,179.46332621,167.66109597,244.95468324,276.11159054
Gambia,15.85763276,14.53857194,14.07111827,19.14887874,19.69961337,20.05629881,23.44777617,22.64164945,32.08507482,42.30333883,39.31204299,39.31149353,31.47291173,32.80579407,44.56079725,40.50507667
Georgia,5.4198951,13.41473327,26.13641091,22.18301585,22.35715527,24.37792913,31.11941129,34.0792959,35.14017641,40.21411126,57.98235368,70.91979237,67.51769339,87.10235207,108.36197921,123.38354364
Germany,1851.30903446,1967.95934842,1949.0516326,1988.65247628,2067.37713659,2129.92391709,2225.56632106,2326.69053411,2429.61175131,2432.04311808,2577.06354265,2725.36882074,2846.13860924,3033.48933084,3242.66857222,3339.32103068
Ghana,23.87425117,24.2142189,24.72428492,25.56179738,22.84614863,21.82836767,31.34268727,24.02423605,26.54805834,42.95984034,56.25655913,38.91443072,51.96204684,48.6095992,43.48282784,50.49545882
Gibraltar,,,,,,,,,,,,,,,,
Greece,655.88924397,687.39311278,715.21593678,719.20683467,783.98746411,870.51726206,1065.92161642,1139.62485152,1212.30169105,1236.3632181,1414.1225557,1617.74016867,1643.72409977,1797.12376199,1882.91193555,1694.74184412
Greenland,,,,,,,,,,,,,,,,
Grenada,124.54544159,131.63357996,146.43460417,157.60820267,206.79171803,267.36180213,349.46005386,283.44714161,270.18833982,237.34569396,290.87578624,318.47183599,309.95805369,289.86817707,314.47449793,267.15728386
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
